buy_date,buy_price,sell_date,sell_price,pnl_pct
2020-01-21,8642.35,2020-02-21,9597.21,0.10848615249324532
2020-03-27,6737.27,2020-05-25,8718.14,0.29201671596952455
2020-05-31,9697.72,2020-06-15,9342.1,-0.03867047512198733
2020-07-10,9232.42,2020-07-18,9154.31,-0.010460403664478066
2020-07-23,9518.16,2020-08-24,11648.12,0.22177854543315104
2020-09-18,10940.0,2020-09-26,10686.57,-0.025165447897623427
2020-09-28,10774.26,2020-10-03,10570.4,-0.020921021026038038
2020-10-09,10925.44,2020-12-12,18036.53,0.6488744727901117
2020-12-15,19273.69,2021-01-22,30851.99,0.5987308408509219
2021-02-04,37620.26,2021-02-28,46103.67,0.22350109967342055
2021-03-10,54874.67,2021-03-25,52303.66,-0.04885240020577791
2021-04-01,58739.46,2021-04-21,56425.0,-0.04140213274006944
2021-05-04,57169.39,2021-05-14,49671.92,-0.1331448311762641
2021-06-14,39020.56,2021-06-21,35600.17,-0.08965609719593977
2021-07-08,33862.11,2021-07-10,33815.81,-0.003367309952037924
2021-07-26,35381.02,2021-09-11,44842.2,0.265408344926178
2021-10-04,48200.01,2021-10-31,61859.19,0.28138541838476794
2021-11-02,60911.12,2021-11-18,60344.86,-0.011296496271945122
2021-12-25,50819.99,2022-01-01,46216.93,-0.09257577539861771
2022-02-06,41382.6,2022-02-21,38386.89,-0.07439056994968898
2022-03-03,43892.99,2022-03-08,37988.01,-0.13653127709003182
2022-03-19,41757.51,2022-04-09,42252.02,0.009842420680734909
2022-06-01,31801.05,2022-06-12,28424.71,-0.10817070819988649
2022-07-08,21624.99,2022-07-14,20234.87,-0.06628303550660614
2022-07-17,21195.6,2022-08-20,20834.39,-0.019041744513012097
2022-09-12,21826.87,2022-09-18,20112.61,-0.08053897512561345
2022-10-04,19629.08,2022-10-12,19060.0,-0.030991679691559755
2022-10-26,20079.02,2022-11-10,15922.68,-0.20899914637268155
2022-12-02,16978.0,2022-12-19,16739.0,-0.01607704087642832
2023-01-06,16831.85,2023-02-09,22961.85,0.36219050787643664
2023-02-18,24568.24,2023-03-01,23141.57,-0.06006968671748574
2023-03-16,24285.66,2023-04-22,27262.84,0.12059003873067482
2023-05-01,29233.2,2023-05-03,28669.85,-0.021270897472736555
2023-05-06,29505.6,2023-05-10,27628.28,-0.06562588796702998
2023-05-30,27736.39,2023-06-06,25728.2,-0.07440271715244842
2023-06-21,28308.0,2023-07-10,30160.71,0.06344828317083506
2023-07-14,31454.23,2023-07-19,29859.14,-0.052711462337498016
2023-08-11,29455.76,2023-08-17,28730.51,-0.026621669921264975
2023-09-17,26559.67,2023-09-28,26373.0,-0.00902832527663176
2023-09-29,27021.39,2023-10-14,26862.0,-0.007898660283575325
2023-10-18,28395.91,2023-12-31,42140.29,0.4820267489226442
2024-01-03,44946.91,2024-01-16,42511.1,-0.05619304686351086
2024-01-31,42941.1,2024-03-20,61937.41,0.44038060971889414
2024-03-29,70780.6,2024-04-06,67820.63,-0.04381894473909519
2024-04-08,69360.38,2024-04-14,63924.52,-0.08037125459808622
2024-05-16,66206.51,2024-06-04,68809.89,0.03732211500047359
2024-06-05,70537.83,2024-06-13,68263.98,-0.03423589384589809
2024-07-16,64724.06,2024-08-03,61498.34,-0.05183803550024522
2024-08-22,61156.03,2024-08-31,59123.99,-0.03522714047985131
2024-09-15,59993.02,2024-10-04,60752.72,0.010663139811931528
2024-10-15,66084.0,2024-12-23,95186.28,0.43838314871981116
2025-01-06,98363.61,2025-01-12,94599.99,-0.04026232079119499
2025-01-16,100497.35,2025-02-03,97700.59,-0.029829191515995286
2025-02-24,96258.0,2025-02-25,91552.88,-0.05088030085811045
2025-03-24,86082.5,2025-04-01,82550.0,-0.043036215258618185
2025-04-15,84591.58,2025-06-01,104591.88,0.23443369706535808
2025-06-11,110274.39,2025-06-17,106794.53,-0.033556374966118616
2025-06-28,107047.58,2025-07-30,117950.75,0.09985349355865866
2025-08-11,119294.27,2025-08-20,112872.95,-0.05582756439181871
2025-09-11,113960.0,2025-09-25,113307.01,-0.007729992979993026
2025-10-03,120529.35,2025-10-14,115166.0,-0.046498290250466014
2025-10-28,114107.65,2025-11-02,110098.1,-0.03713831018341004
2025-12-04,93429.95,2025-12-16,86432.08,-0.07689964406488493
2026-01-02,88839.05,2026-01-22,89454.73,0.00493028572457712
